系名,科系類型
民族社會工作學士學位學程,社會工作
民族語言與傳播學系,新聞傳播
水利及海洋工程學系,
水利工程與資源保育學系,
水利工程與資源保育學系A組,
水利工程與資源保育學系B組,
水土保持學系,
水生生物科學系,生命科學
水產養殖學系,
水資源及環境工程學系,
水資源及環境工程學系水資源工程組,
水資源及環境工程學系環境工程組,
水資源環境工程系水資源組,
水資源環境工程系環境工程組,
永續科學與工程學士學位學程,
永續科學與管理學士學位學程,
河海工程學系,
法國語文學系,
法律學士學位學程,法律
法律學系,法律
法律學系司法組,法律
法律學系法制組,法律
法律學系法學組,法律
法律學系財經法學組,法律
法律學系財經法組,法律
法律與政府學系,法律
海洋工程科技學士學位學程,
海洋文創設計產業學士學位學程,
海洋法政學士學位學程,
海洋環境及工程學系,
海洋環境資訊系,
海洋生物科技學士學位學程,
海洋生物科技暨資源學系,
海洋科學學士學位學程,
海洋科學系,
海洋經營管理學士學位學程,
海洋與邊境管理學系,
海洋觀光管理學士學位學程,
測量及空間資訊學系,
營養學系,
營養科學學士學位學程,
營養科學系,
牙醫學系,牙醫
牙體技術學系,
物理學系,物理
物理學系(公費),物理
物理學系(公費)-臺南市,物理
物理學系(公費)-苗栗縣,物理
物理學系(天文與基礎物理組),物理
物理學系(自費),物理
物理學系(量子材料組),材料
物理學系一般物理組,物理
物理學系光電物理組,光電
物理學系光電科學組,光電
物理學系光電組,光電
物理學系光電與材料科學組,光電
物理學系國際組,物理
物理學系奈米與光電科學組,光電
物理學系應用物理組,物理
物理學系物理組,物理
物理學系物理組(一般組),物理
物理學系物理組(乙組天文物理組),物理
物理學系物理組(公費生),物理
物理學系物理組(天文物理組),物理
物理學系物理組(甲組一般組),物理
物理學系物理組(自費),物理
物理學系量子科技組(全英),物理
物理學系電子物理組,物理
物理治療學系,物理治療
物理治療暨輔助科技學系,物理治療
物理系物理組(公費)-彰化縣,
物理系物理組(公費)-雲林縣,
特殊教育學系,
特殊教育學系(公費),
特殊教育學系(公費)-嘉義縣,
特殊教育學系(公費)-彰化縣,
特殊教育學系(公費)-桃園市,
特殊教育學系(公費)-臺中市,
特殊教育學系(公費)-臺北市,
特殊教育學系(公費)-臺東縣,
特殊教育學系(公費)-雲林縣,
特殊教育學系(公費國文)-臺北市,中文
特殊教育學系(公費生),
特殊教育學系(公費生)-雲林縣,
特殊教育學系(公費英語)-臺北市,外文
特殊教育學系(公費資賦優異類)-臺北市,
特殊教育學系(公費身心障礙類)-臺北市,
特殊教育學系(女),
特殊教育學系(文組),
特殊教育學系(理組),
特殊教育學系(男),
特殊教育學系(自費),
特殊教育系(資賦優異組公費),
特殊教育系(身心障礙組公費),
犯罪防治學系,
獸醫學系,獸醫
獸醫學系(公費生)-花蓮縣,獸醫
理學院,
理學院學士班,
理學院尖端材料科學學士學位學程,材料
理學院科學學士學位學程甲組,
理工學院大數據科學國際學士班,
環境工程學系,
環境工程與科學學系,
環境生物與漁業科學學系,
環境科學與工程學系,
環境科學與工程學系(自然A組),
環境科學與工程學系(自然B組),
環境科學與工程系(自然A組),
環境科學與工程系(自然B組),
環境與安全衛生工程學系,
環境與安全衛生工程學系(乙組),
環境與安全衛生工程學系(甲組),
環境與安全衛生工程系(乙組),
環境與安全衛生工程系(甲組),
環境與文化資源學系,
生化暨分子醫學科學系,
生化科技學系,
生命科學暨生物科技學系,生命科學
生命科學暨醫學院學士班,
生命科學系,生命科學
生命科學系(公費),生命科學
生命科學系(公費生),生命科學
生命科學系(生態暨生物多樣性組),生命科學
生命科學系(生物醫學組),生命科學
生命科學系(自費),生命科學
生命科學系暨基因體研究所,生命科學
生命科學系暨基因體科學研究所,生命科學
生命科學系生態暨生物多樣性組,生命科學
生命科學系生態生物多樣性組,生命科學
生命科學系生物醫學組,生命科學
生命科學院學士班,
生命科學院學士班(英語組),
生態暨環境資源學系,
生態科學與技術學系,
生物事業管理學系,
生物學系,生命科學
生物學系(公費生),生命科學
生物技術與動物科學系,
生物機電工程學系,
生物環境工程學系,
生物環境系統工程學系,
生物產業傳播暨發展學系,
生物產業機電工程學系,
生物產業機電工程學系(公費生),
生物科學系,生命科學
生物科學系英語組,外文
生物科技學士學位學程,
生物科技學系,
生物科技學系乙組,
生物科技學系甲組,
生物科技系,
生物科技與產業科學系,
生物資源學系,
生物農業科技學系,
生物醫學工程學系,生醫工程
生物醫學工程學系(國際雙聯組),生醫工程
生物醫學影像暨放射科學學系,生命科學
生物醫學影像暨放射科學系,生命科學
生物醫學暨環境生物學系,生命科學
生物醫學科學學系,生命科學
生物醫學科學系,生命科學
生物醫學科技學系全英語學士班生物醫學組,生命科學
生物醫學科技學系全英語學士班生醫工程組,生醫工程
生物醫學系,生命科學
生醫工程與環境科學系,生醫工程
生醫科學與工程學系,
產業經濟學系,經濟
畜產與生物科技學系,
畜產與生物科技學系(A組),
畜產與生物科技學系(B組),
畜產與生物科技學系(C組),
社會學系,社會學
社會工作學系,社會工作
社會政策與社會工作學系,社會工作
社會教育學系,
社會暨公共事務學系,
社會暨公共行政學系,
社會暨政策科學學系,
社會發展學系,
社會福利學系,社會工作
社會與區域發展學系,
科學傳播學系,新聞傳播
科學應用與推廣學系,
科學教育與應用學系,
科學教育與應用學系(公費)-嘉義縣、限原住民,
科學教育與應用學系(自費),
科技學院學士班,
科技應用與人力資源發展學系,
科技應用與人力資源發展學系(公費)-臺南市,
科技應用與人力資源發展學系(自費),
科技管理學系,
科技管理學院學士班,
科普傳播學系,新聞傳播
競技與運動科學學系,
竹師教育學院學士班,
