學年度,學校,系名,科系類型,錄取平均,原始總分
104,台大,護理學系,護理,72.94,364.7
104,台大,物理治療學系,物理治療,81.04,405.2
104,台大,職能治療學系,職能治療,76.56,363.65
104,台大,土木工程學系,土木工程,77.78,388.9
104,台大,機械工程學系,機械工程,79.88,399.4
104,台大,化學工程學系,化學工程,79.58,397.9
104,台大,工程科學及海洋工程學系,,78.18,390.9
104,台大,材料科學與工程學系,材料,81.84,409.2
104,台大,農藝學系,,74.36,409.0
104,台大,生物環境系統工程學系,,75.64,378.2
104,台大,農業化學系,農業化學,75.82,379.1
104,台大,森林環境暨資源學系,,75.69,529.85
104,台大,動物科學技術學系,,75.7,378.5
104,台大,農業經濟學系,農業經濟,72.58,471.75
104,台大,園藝暨景觀學系,,77.68,466.1
104,台大,獸醫學系,獸醫,79.12,395.6
104,台大,生物產業傳播暨發展學系,,78.22,508.45
104,台大,生物產業機電工程學系,,76.68,383.4
104,台大,昆蟲學系,,73.44,367.2
104,台大,植物病理與微生物學系,生命科學,73.46,367.3
104,台大,工商管理學系企業管理組,企業管理,81.87,573.1
104,台大,工商管理學系科技管理組,企業管理,76.53,535.7
104,台大,會計學系,會計,80.65,524.25
104,台大,財務金融學系,財務金融,83.82,377.2
104,台大,國際企業學系,國際企業,83.46,584.2
104,台大,資訊管理學系,資訊管理,79.14,395.7
104,台大,公共衛生學系,公共衛生,74.54,372.7
104,台大,電機工程學系,電機工程,83.28,416.4
104,台大,資訊工程學系,資訊工程,81.04,405.2
104,台大,法律學系法學組,法律,81.22,406.1
104,台大,法律學系司法組,法律,82.02,410.1
104,台大,法律學系財經法學組,法律,83.1,415.5
104,台大,生命科學系,生命科學,77.58,387.9
104,台大,生化科技學系,,81.54,407.7
105,台大,中國文學系,中文,78.34,470.03
105,台大,外國語文學系,外文,80.71,504.45
105,台大,歷史學系,歷史,78.56,392.8
105,台大,哲學系,哲學,79.66,398.3
105,台大,人類學系,,77.59,407.35
105,台大,圖書資訊學系,,79.88,439.35
105,台大,日本語文學系,日文,78.79,472.75
105,台大,戲劇學系(男),,77.38,464.3
105,台大,戲劇學系(女),,78.35,470.1
105,台大,數學系,數學,79.0,434.5
105,台大,物理學系,物理,81.62,408.1
105,台大,化學系,化學,81.0,405.0
105,台大,地質科學系,地質,76.06,380.3
105,台大,心理學系,心理,77.58,387.9
105,台大,地理環境資源學系A組,地理,75.58,377.9
105,台大,地理環境資源學系B組,地理,79.56,397.8
105,台大,大氣科學系,大氣科學,76.86,384.3
105,台大,政治學系政治理論組,政治,79.17,435.45
105,台大,政治學系國際關係組,政治,81.01,445.53
105,台大,政治學系公共行政組,政治,80.02,440.1
105,台大,經濟學系,經濟,85.79,428.95
105,台大,社會學系,社會學,80.65,524.25
105,台大,社會工作學系,社會工作,79.05,434.8
105,台大,醫學系,醫學,91.44,457.2
105,台大,醫學系(公費),醫學,86.72,433.6
105,台大,牙醫學系,牙醫,89.42,447.1
105,台大,藥學系,藥學,85.8,429.0
105,台大,醫學檢驗暨生物技術學系,醫檢,78.8,394.0
105,台大,護理學系,護理,74.98,374.9
105,台大,物理治療學系,物理治療,83.74,418.7
105,台大,職能治療學系,職能治療,79.17,376.05
105,台大,土木工程學系,土木工程,79.36,396.8
105,台大,機械工程學系,機械工程,81.26,406.3
105,台大,化學工程學系,化學工程,81.42,407.1
105,台大,工程科學及海洋工程學系,,80.08,400.4
105,台大,材料科學與工程學系,材料,82.88,414.4
105,台大,農藝學系,,76.19,419.03
105,台大,生物環境系統工程學系,,76.92,384.6
105,台大,農業化學系,農業化學,77.62,388.1
105,台大,森林環境暨資源學系,,77.44,542.1
105,台大,動物科學技術學系,,78.66,393.3
105,台大,農業經濟學系,農業經濟,75.28,489.3
105,台大,園藝暨景觀學系,,77.45,464.7
105,台大,獸醫學系,獸醫,80.66,403.3
105,台大,生物產業傳播暨發展學系,,80.47,523.05
105,台大,生物產業機電工程學系,,78.68,393.4
105,台大,昆蟲學系,,75.66,378.3
105,台大,植物病理與微生物學系,生命科學,75.72,378.6
105,台大,工商管理學系企業管理組,企業管理,84.07,588.5
105,台大,工商管理學系科技管理組,企業管理,79.69,557.8
105,台大,會計學系,會計,81.81,531.75
105,台大,財務金融學系,財務金融,88.47,398.1
105,台大,國際企業學系,國際企業,84.71,593.0
105,台大,資訊管理學系,資訊管理,80.3,401.5
105,台大,公共衛生學系,公共衛生,77.46,387.3
105,台大,電機工程學系,電機工程,83.9,419.5
105,台大,資訊工程學系,資訊工程,83.14,415.7
105,台大,法律學系法學組,法律,83.7,439.4
105,台大,法律學系司法組,法律,84.27,442.4
105,台大,法律學系財經法學組,法律,84.88,445.6
105,台大,生命科學系,生命科學,79.42,397.1
105,台大,生化科技學系,,83.22,416.1
106,台大,中國文學系,中文,80.87,485.23
106,台大,外國語文學系,外文,83.32,520.73
106,台大,歷史學系,歷史,82.06,410.3
106,台大,哲學系,哲學,82.3,411.5
106,台大,人類學系,,81.07,425.63
106,台大,圖書資訊學系,,82.04,451.23
